timeStamp;elapsed;label;responseCode;responseMessage;threadName;dataType;success;failureMessage;bytes;sentBytes;grpThreads;allThreads;URL;Latency;IdleTime;Connect
1753562211343,00;1;Delete character;Non HTTP response code: org.apache.http.conn.HttpHostConnectException;Non HTTP response message: Connect to localhost:3001 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect;Nataliia 1-417;text;FALSE;;2631;0;724;724;http://localhost:3001/character/;0;0;1
1753562211206,00;280;GET characters;200;OK;Nataliia 1-817;text;TRUE;;1322;0;708;708;http://localhost:3001/characters;280;0;0
1753562211400,00;9;Delete character;Non HTTP response code: org.apache.http.conn.HttpHostConnectException;Non HTTP response message: Connect to localhost:3001 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect;Nataliia 1-45;text;FALSE;;2631;0;708;708;http://localhost:3001/character/;0;0;9
1753562211400,00;11;Delete character;Non HTTP response code: org.apache.http.conn.HttpHostConnectException;Non HTTP response message: Connect to localhost:3001 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect;Nataliia 1-530;text;FALSE;;2631;0;708;708;http://localhost:3001/character/;0;0;11
1753562211398,00;21;Delete character;Non HTTP response code: org.apache.http.conn.HttpHostConnectException;Non HTTP response message: Connect to localhost:3001 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect;Nataliia 1-65;text;FALSE;;2631;0;706;706;http://localhost:3001/character/;0;0;21
1753562211359,00;62;GET characters;Non HTTP response code: java.net.ConnectException;Non HTTP response message: Connection refused: connect;Nataliia 1-82;text;FALSE;;1976;0;705;705;http://localhost:3001/characters;0;0;0
1753562211355,00;1;POST create character;Non HTTP response code: org.apache.http.conn.HttpHostConnectException;Non HTTP response message: Connect to localhost:3001 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect;Nataliia 1-720;text;FALSE;;2631;0;708;708;http://localhost:3001/character;0;0;1
1753562211206,00;281;GET characters;200;OK;Nataliia 1-811;text;TRUE;;1322;0;705;705;http://localhost:3001/characters;281;0;0
1753562211354,00;2;POST create character;Non HTTP response code: org.apache.http.conn.HttpHostConnectException;Non HTTP response message: Connect to localhost:3001 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect;Nataliia 1-670;text;FALSE;;2631;0;707;707;http://localhost:3001/character;0;0;2
1753562211400,00;1;POST create character;Non HTTP response code: org.apache.http.conn.HttpHostConnectException;Non HTTP response message: Connect to localhost:3001 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect;Nataliia 1-698;text;FALSE;;2631;0;708;708;http://localhost:3001/character;0;0;1
1753562211206,00;283;GET characters;200;OK;Nataliia 1-835;text;TRUE;;1322;0;705;705;http://localhost:3001/characters;283;0;0
1753562211208,00;281;GET character ID;200;OK;Nataliia 1-617;text;TRUE;;269;0;705;705;http://localhost:3001/character/1;281;0;0
1753562211211,00;279;GET character ID;200;OK;Nataliia 1-68;text;TRUE;;269;0;705;705;http://localhost:3001/character/1;279;0;0
1753562211404,00;19;GET character ID;Non HTTP response code: java.net.ConnectException;Non HTTP response message: Connection refused: connect;Nataliia 1-725;text;FALSE;;1976;0;705;705;http://localhost:3001/character/1;0;0;0
1753562211405,00;18;GET character ID;Non HTTP response code: java.net.ConnectException;Non HTTP response message: Connection refused: connect;Nataliia 1-75;text;FALSE;;1976;0;705;705;http://localhost:3001/character/1;0;0;0
1753562211405,00;19;GET character ID;Non HTTP response code: java.net.ConnectException;Non HTTP response message: Connection refused: connect;Nataliia 1-76;text;FALSE;;1976;0;705;705;http://localhost:3001/character/1;0;0;0
1753562211405,00;18;GET character ID;Non HTTP response code: java.net.ConnectException;Non HTTP response message: Connection refused: connect;Nataliia 1-893;text;FALSE;;1976;0;705;705;http://localhost:3001/character/1;0;0;0
1753562211404,00;19;GET characters;Non HTTP response code: java.net.ConnectException;Non HTTP response message: Connection refused: connect;Nataliia 1-747;text;FALSE;;1976;0;705;705;http://localhost:3001/characters;0;0;0
1753562211403,00;20;GET characters;Non HTTP response code: java.net.ConnectException;Non HTTP response message: Connection refused: connect;Nataliia 1-66;text;FALSE;;1976;0;705;705;http://localhost:3001/characters;0;0;0
1753562211406,00;18;GET characters;Non HTTP response code: java.net.ConnectException;Non HTTP response message: Connection refused: connect;Nataliia 1-77;text;FALSE;;1976;0;705;705;http://localhost:3001/characters;0;0;0
1753562211406,00;18;GET character ID;Non HTTP response code: java.net.ConnectException;Non HTTP response message: Connection refused: connect;Nataliia 1-916;text;FALSE;;1976;0;705;705;http://localhost:3001/character/1;0;0;0
1753562211212,00;280;GET character ID;200;OK;Nataliia 1-616;text;TRUE;;269;0;705;705;http://localhost:3001/character/1;280;0;0
1753562211411,00;15;GET character ID;Non HTTP response code: java.net.ConnectException;Non HTTP response message: Connection refused: connect;Nataliia 1-791;text;FALSE;;1976;0;705;705;http://localhost:3001/character/1;0;0;0
1753562211356,00;70;GET character ID;Non HTTP response code: java.net.ConnectException;Non HTTP response message: Connection refused: connect;Nataliia 1-814;text;FALSE;;1976;0;705;705;http://localhost:3001/character/1;0;0;0
1753562211412,00;14;GET character ID;Non HTTP response code: java.net.ConnectException;Non HTTP response message: Connection refused: connect;Nataliia 1-650;text;FALSE;;1976;0;705;705;http://localhost:3001/character/1;0;0;0
1753562211406,00;18;GET character ID;Non HTTP response code: java.net.ConnectException;Non HTTP response message: Connection refused: connect;Nataliia 1-90;text;FALSE;;1976;0;705;705;http://localhost:3001/character/1;0;0;0
1753562211413,00;14;GET character ID;Non HTTP response code: java.net.ConnectException;Non HTTP response message: Connection refused: connect;Nataliia 1-878;text;FALSE;;1976;0;705;705;http://localhost:3001/character/1;0;0;0
1753562211404,00;23;GET character ID;Non HTTP response code: java.net.ConnectException;Non HTTP response message: Connection refused: connect;Nataliia 1-802;text;FALSE;;1976;0;705;705;http://localhost:3001/character/1;0;0;0
